date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:14:56	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ac3ee6-4f6f-50838be01ac07%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/fonts/glyphicons-halflings-regular.eot	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/css/bootstrap.min.css)
20:14:58	23320/23320	---MCZ	200	added ('OK')	text/plain	date:Wed,%2019%20Nov%202014%2016:31:23%20GMT	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/fonts/glyphicons-halflings-regular.woff	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/css/bootstrap.min.css)
20:15:00	62926/62926	---M--	200	added ('OK')	image/svg+xml	etag:%22546cc5da-f5ce%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/fonts/glyphicons-halflings-regular.svg	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/css/bootstrap.min.css)
20:15:00	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ac3ee6-4f6f-50838be01ac07%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/fonts/glyphicons-halflings-regular.eot?	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/fonts/glyphicons-halflings-regulard41d.eot	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/css/bootstrap.min.css)
20:15:00	55524/55524	---M--	200	added ('OK')	application/javascript	etag:%22546cc597-d8e4%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/gmaps.js	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/js/gmaps.js	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/)
20:15:00	41280/41280	---MCZ	200	added ('OK')	text/plain	date:Wed,%2019%20Nov%202014%2016:31:23%20GMT	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/fonts/glyphicons-halflings-regular.ttf	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/bootstrap/css/bootstrap.min.css)
20:15:01	0/0	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2029%20Jan%202015%2014:44:32%20GMT	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/AjaxLoader.gif	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/AjaxLoader.gif	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/owl.theme.css)
20:15:02	33237/33237	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2029%20Jan%202015%2014:44:33%20GMT	http://www.mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/AjaxLoader.gif	D:/websites/anugoonj/www.mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/AjaxLoader.2a.delayed	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/owl.theme.css)
20:15:03	116/116	---M--	200	added ('OK')	image/png	etag:%22546cc58f-74%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/grabbing.png	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/grabbing.png	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/owl.carousel.css)
20:15:10	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ac3dcd-11b01-50838b9503a19%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/fonts/fontawesome-webfont.eot?v=4.1.0	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/fonts/fontawesome-webfont862f.eot	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/font-awesome.min.css)
20:15:13	253487/253487	---M--	200	added ('OK')	image/svg+xml	etag:%22546cc58c-3de2f%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/fonts/fontawesome-webfont.svg?v=4.1.0	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/fonts/fontawesome-webfont862f.svg	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/font-awesome.min.css)
20:15:17	72449/72449	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22ac3dcd-11b01-50838b9503a19%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/fonts/fontawesome-webfont.eot?	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/fonts/fontawesome-webfontd41d.eot	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/font-awesome.min.css)
20:15:21	83760/83760	---MCZ	200	added ('OK')	text/plain	date:Wed,%2019%20Nov%202014%2016:30:04%20GMT	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/fonts/fontawesome-webfont.woff?v=4.1.0	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/fonts/fontawesome-webfont862f.woff	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/font-awesome.min.css)
20:15:21	141564/141564	---MCZ	200	added ('OK')	text/plain	date:Wed,%2019%20Nov%202014%2016:30:04%20GMT	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/fonts/fontawesome-webfont.ttf?v=4.1.0	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/fonts/fontawesome-webfont862f.ttf	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/font-awesome.min.css)
20:15:25	13999/13999	---M--	200	added ('OK')	image/gif	etag:%22546cc596-36af%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/preloader.gif	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/preloader.gif	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/style.css)
20:15:26	24274/24274	---MCZ	200	added ('OK')	text/html	date:Wed,%2019%20Nov%202014%2016:29:54%20GMT	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/index.html	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/index-2.html	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/components.html)
20:15:49	214087/214087	---M--	200	added ('OK')	image/jpeg	etag:%22546cc58f-34447%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/bg3.jpg	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/bg3.jpg	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/style.css)
20:15:50	266838/266838	---M--	200	added ('OK')	image/jpeg	etag:%22546cc58e-41256%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/bg2.jpg	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/bg2.jpg	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/style.css)
20:15:53	369420/369420	---M--	200	added ('OK')	image/jpeg	etag:%22546cc58e-5a30c%22	http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/bg1.jpg	D:/websites/anugoonj/mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/images/bg1.jpg	(from http://mycookroom.ru/mywork/Elegant/1.1/Site/Image/assets/css/style.css)
